Relations;Année;Temps estimé en minutes
LYON - ROUEN;1942;
LYON - ROUEN;1944;
LYON - ROUEN;1952;
LYON - ROUEN;1962;
LYON - ROUEN;1964;
LYON - ROUEN;1967;
LYON - ROUEN;1969;
LYON - ROUEN;1971;
LYON - ROUEN;1974;
LYON - ROUEN;1976;
LYON - ROUEN;1984;
LYON - ROUEN;1989;229.0
LYON - ROUEN;1996;224.0
LYON - ROUEN;1999;221.0
LYON - ROUEN;2001;221.0
LYON - ROUEN;2011;224.0
BORDEAUX - MARSEILLE;1939;
BORDEAUX - MARSEILLE;1951;
BORDEAUX - MARSEILLE;1955;
BORDEAUX - MARSEILLE;1959;
BORDEAUX - MARSEILLE;1961;
BORDEAUX - MARSEILLE;1964;530.0
BORDEAUX - MARSEILLE;1965;530.0
BORDEAUX - MARSEILLE;1967;529.0
BORDEAUX - MARSEILLE;1973;379.0
BORDEAUX - MARSEILLE;1975;377.0
BORDEAUX - MARSEILLE;1980;370.0
BORDEAUX - MARSEILLE;1982;372.0
BORDEAUX - MARSEILLE;1985;365.0
BORDEAUX - MARSEILLE;1988;361.0
BORDEAUX - MARSEILLE;1989;375.0
BORDEAUX - MARSEILLE;1996;329.0
BORDEAUX - MARSEILLE;1997;332.0
BORDEAUX - MARSEILLE;1999;341.0
BORDEAUX - MARSEILLE;2003;339.0
BORDEAUX - LILLE;1920;
BORDEAUX - LILLE;1928;
BORDEAUX - LILLE;1933;
BORDEAUX - LILLE;1937;
BORDEAUX - LILLE;1941;
BORDEAUX - LILLE;1944;
BORDEAUX - LILLE;1951;
BORDEAUX - LILLE;1955;
BORDEAUX - LILLE;1958;
BORDEAUX - LILLE;1962;
BORDEAUX - LILLE;1963;
BORDEAUX - LILLE;1966;
BORDEAUX - LILLE;1968;
BORDEAUX - LILLE;1969;
BORDEAUX - LILLE;1971;
BORDEAUX - LILLE;1973;
BORDEAUX - LILLE;1979;
BORDEAUX - LILLE;1983;
BORDEAUX - LILLE;1991;
BORDEAUX - LILLE;1992;
BORDEAUX - LILLE;1993;
BORDEAUX - LILLE;1994;
BORDEAUX - LILLE;1995;
BORDEAUX - LILLE;1998;301.0
BORDEAUX - LILLE;2002;298.0
BORDEAUX - LILLE;2003;300.0
BORDEAUX - LILLE;2006;304.0
BORDEAUX - LILLE;2008;304.0
BORDEAUX - LILLE;2013;305.0
PARIS - MONTPELLIER;1942;
PARIS - MONTPELLIER;1947;
PARIS - MONTPELLIER;1948;
PARIS - MONTPELLIER;1954;515.0
PARIS - MONTPELLIER;1972;412.0
PARIS - MONTPELLIER;1974;415.0
PARIS - MONTPELLIER;1977;419.0
PARIS - MONTPELLIER;1982;334.0
PARIS - MONTPELLIER;1987;280.0
PARIS - MONTPELLIER;1990;280.0
PARIS - MONTPELLIER;1992;279.0
PARIS - MONTPELLIER;1993;279.0
PARIS - MONTPELLIER;1995;249.0
PARIS - MONTPELLIER;1997;254.0
PARIS - MONTPELLIER;1998;257.0
PARIS - MONTPELLIER;2001;197.0
PARIS - MONTPELLIER;2002;194.0
PARIS - MONTPELLIER;2012;199.0
PARIS - MONTPELLIER;2013;199.0
PARIS - MONTPELLIER;2017;199.0
LYON - NANTES;1933;
LYON - NANTES;1946;
LYON - NANTES;1952;
LYON - NANTES;1955;
LYON - NANTES;1965;437.0
LYON - NANTES;1972;409.0
LYON - NANTES;1976;369.0
LYON - NANTES;1978;375.0
LYON - NANTES;1982;386.0
LYON - NANTES;1984;395.0
LYON - NANTES;1989;396.0
LYON - NANTES;1999;295.0
LYON - NANTES;2001;256.0
LYON - NANTES;2003;253.0
LYON - NANTES;2013;262.0
LYON - NANTES;2017;264.0
PARIS - NANCY;1920;
PARIS - NANCY;1928;
PARIS - NANCY;1931;
PARIS - NANCY;1933;
PARIS - NANCY;1934;
PARIS - NANCY;1935;
PARIS - NANCY;1941;
PARIS - NANCY;1943;
PARIS - NANCY;1948;
PARIS - NANCY;1950;
PARIS - NANCY;1957;
PARIS - NANCY;1959;
PARIS - NANCY;1965;166.0
PARIS - NANCY;1969;161.0
PARIS - NANCY;1972;155.0
PARIS - NANCY;1975;159.0
PARIS - NANCY;1978;157.0
PARIS - NANCY;1985;154.0
PARIS - NANCY;1987;156.0
PARIS - NANCY;1990;154.0
PARIS - NANCY;1991;156.0
PARIS - NANCY;1998;158.0
PARIS - NANCY;2005;162.0
PARIS - NANCY;2007;90.0
PARIS - METZ;1928;
PARIS - METZ;1938;
PARIS - METZ;1939;
PARIS - METZ;1942;
PARIS - METZ;1947;
PARIS - METZ;1954;218.0
PARIS - METZ;1957;
PARIS - METZ;1969;170.0
PARIS - METZ;1971;158.0
PARIS - METZ;1973;160.0
PARIS - METZ;1974;162.0
PARIS - METZ;1975;165.0
PARIS - METZ;1981;161.0
PARIS - METZ;1982;162.0
PARIS - METZ;1989;160.0
