,Paris,London,Madrid,Moscow,Berlin,Roma,Brussels,Sofia,Lisbon,Bern,Amsterdam,Stockholm,Zagreb,Prague,Athens
Paris,0.0,8220.0,47220.0,163860.0,31320.0,36120.0,4920.0,,87420.0,17940.0,11820.0,81840.0,52800.0,44940.0,
London,8700.0,0.0,,196260.0,36660.0,66120.0,7800.0,,129240.0,28380.0,17040.0,88860.0,65040.0,47760.0,
Madrid,61560.0,110700.0,0.0,,112860.0,,68520.0,,34980.0,,80820.0,200700.0,200160.0,148800.0,
Moscow,145500.0,149100.0,219900.0,0.0,114420.0,166680.0,140100.0,,289980.0,144960.0,141660.0,,157200.0,135420.0,
Berlin,31500.0,,115860.0,101460.0,0.0,72300.0,29820.0,,155160.0,33420.0,22200.0,79980.0,50880.0,15480.0,173160.0
Roma,44520.0,68400.0,124020.0,199920.0,54780.0,0.0,50280.0,,164220.0,21900.0,57060.0,99540.0,43560.0,71520.0,
Brussels,4920.0,7500.0,107220.0,151620.0,24120.0,43200.0,0.0,,130320.0,24060.0,6600.0,96900.0,58920.0,40200.0,203431.0
Sofia,,,,216157.0,,,,0.0,233017.0,,118117.0,183577.0,,90157.0,39577.0
Lisbon,96660.0,,30960.0,254460.0,128340.0,163080.0,103620.0,,0.0,118440.0,115920.0,176940.0,158700.0,231120.0,
Bern,21660.0,30900.0,79560.0,156480.0,29100.0,24540.0,27060.0,,143460.0,0.0,31920.0,81300.0,51180.0,41460.0,
Amsterdam,11880.0,22380.0,76380.0,153120.0,25320.0,55380.0,6660.0,,139080.0,28260.0,0.0,94800.0,64500.0,41400.0,192377.0
Stockholm,77460.0,,134160.0,,58860.0,102060.0,75660.0,,222120.0,76920.0,68040.0,0.0,114600.0,75660.0,210077.0
Zagreb,53100.0,79200.0,,,74520.0,64740.0,79140.0,79540.0,204780.0,75120.0,82320.0,,0.0,50040.0,132077.0
Prague,44400.0,49980.0,127440.0,125040.0,15600.0,74040.0,44040.0,,167640.0,41700.0,38340.0,97140.0,42660.0,0.0,139817.0
Athens,,,,,157560.0,,,42160.0,347700.0,,,,,,0.0
