City,lat,long
Paris,46.694162,1.811624
London,51.5481691,-0.1807304
Madrid,40.4167754,-3.7037902
Moscow,41.7538264,-91.13254669999999
Berlin,52.523753,13.4176863
Roma,43.6569819,-79.45242549999999
Brussels,50.8521937,4.3541381
Sofia,42.6964973,23.3198764
Lisbon,40.7720044,-80.7681336
Bern,40.503194,-76.0236044
Amsterdam,52.36307610000001,4.879286899999999
Stockholm,40.70428829999999,-73.91743319999999
Zagreb,45.770453,15.94013
Prague,50.0722733,14.4307731
Athens,37.9657316,23.7391192
