City,lat,long
Paris,48.856614,2.35
Marseille,43.3050158,5.3678461
Lyon,45.7609378,4.834162399999999
Toulouse,43.605008,1.443139
Nice Ville,43.7101728,7.261953199999994
Nantes,47.2141029,-1.5603534
Strasbourg,48.58486389999999,7.745490599999999
Montpellier,43.60967,3.8853787
Bordeaux,44.8277639,-0.5944847
Rennes,48.1152187,-1.6830709
Le Havre,49.4917916,0.1186897
Reims,49.2592966,4.025657799999999
Lille,50.6313675,3.0654478
Grenoble,45.1906626,5.713069399999999
Angers,47.4692016,-0.5497215
Dijon,47.32796,5.051065
Brest,48.3849182,-4.4928184
Clermont,45.7714779,3.083363
Amiens,49.8910806,2.3095644
Limoges,45.8300738,1.2558771
Perpignan,42.6995391,2.8860832
