,Paris,Marseille,Lyon,Toulouse,Nice Ville,Nantes,Strasbourg,Montpellier,Bordeaux,Rennes,Le Havre,Reims,Lille,Saint-Étienne,Toulon,Grenoble,Angers,Dijon,Brest,Le Mans,Clermont-Ferrand,Amiens,Aix-en-Provence,Limoges,Nîmes
Paris,0.0,12060.0,7020.0,16959.0,20700.0,8739.0,7740.0,12540.0,8859.0,6699.0,7564.0,4320.0,5460.0,11460.0,13860.0,12180.0,6339.0,5940.0,15696.0,,13282.0,4020.0,16440.0,12300.0,10680.0
Marseille,11520.0,0.0,6540.0,14220.0,9720.0,23160.0,20340.0,5760.0,22140.0,19260.0,21484.0,17040.0,18540.0,11100.0,3780.0,10380.0,20760.0,14700.0,28677.0,,17760.0,19980.0,2700.0,,7440.0
Lyon,7860.0,7140.0,0.0,14880.0,18060.0,17400.0,13620.0,8820.0,17520.0,15420.0,18424.0,11520.0,11280.0,2760.0,10980.0,5040.0,15000.0,4980.0,23997.0,,8580.0,12840.0,10920.0,,6960.0
Toulouse,16893.0,14880.0,20100.0,0.0,28200.0,22440.0,24720.0,7980.0,7740.0,26280.0,25624.0,24120.0,25140.0,24660.0,20460.0,21540.0,20040.0,30180.0,35217.0,,25440.0,24540.0,19020.0,11820.0,9780.0
Nice Ville,25800.0,10200.0,18660.0,28860.0,0.0,34620.0,32220.0,18060.0,36780.0,32640.0,31384.0,30000.0,31440.0,25020.0,7380.0,24120.0,32220.0,26340.0,42357.0,,25560.0,26640.0,14280.0,35640.0,15960.0
Nantes,9633.0,24840.0,17580.0,,38220.0,0.0,16680.0,23580.0,,5220.0,18484.0,14760.0,12960.0,22020.0,30540.0,23700.0,2280.0,17460.0,16857.0,,26460.0,13980.0,29040.0,23940.0,21720.0
Strasbourg,6360.0,20460.0,14340.0,28200.0,38040.0,17340.0,0.0,21840.0,16620.0,15360.0,17524.0,6660.0,14100.0,17220.0,26160.0,20220.0,14940.0,7680.0,26697.0,,22080.0,11940.0,24780.0,20100.0,19920.0
Montpellier,15360.0,9360.0,6480.0,7980.0,17520.0,25260.0,20520.0,0.0,16080.0,22020.0,24244.0,19800.0,19380.0,11280.0,10860.0,9240.0,22860.0,12540.0,31437.0,,18600.0,19140.0,10560.0,,1560.0
Bordeaux,8733.0,22080.0,17520.0,7740.0,32760.0,,16620.0,15960.0,0.0,15600.0,18424.0,14880.0,13260.0,,28860.0,20220.0,,17580.0,,,,14280.0,25560.0,8580.0,
Rennes,6693.0,22320.0,13860.0,23640.0,36060.0,4740.0,16800.0,21120.0,15660.0,0.0,19384.0,14700.0,11400.0,19860.0,26760.0,18360.0,5580.0,20940.0,7917.0,,24900.0,12420.0,25320.0,,19320.0
