,Paris,Marseille,Lyon,Toulouse,Nice Ville,Nantes,Strasbourg,Montpellier,Bordeaux,Rennes,Le Havre,Reims,Lille,Saint-Étienne,Toulon
Paris,0.0,12060.0,7020.0,16959.0,20701.0,8739.0,7740.0,12540.0,8859.0,6699.0,7564.0,4320.0,5460.0,11460.0,13860.0
Marseille,11520.0,0.0,6540.0,14220.0,9721.0,23160.0,20340.0,5760.0,22140.0,19260.0,21484.0,17040.0,18540.0,11100.0,3780.0
Lyon,7860.0,7140.0,0.0,14880.0,18061.0,17400.0,13620.0,8820.0,17520.0,15420.0,18424.0,11520.0,11280.0,2760.0,10980.0
Toulouse,16893.0,14880.0,20100.0,0.0,28201.0,22440.0,24720.0,7980.0,7740.0,26280.0,25624.0,24120.0,25140.0,24660.0,20460.0
Nice Ville,25800.0,10200.0,18660.0,28860.0,0.0,34620.0,32220.0,18060.0,36780.0,32640.0,31384.0,30000.0,31440.0,25020.0,7380.0
Nantes,9633.0,24840.0,17580.0,,38221.0,0.0,16680.0,23580.0,,5220.0,18484.0,14760.0,12960.0,22020.0,30540.0
Strasbourg,6360.0,20460.0,14340.0,28200.0,38041.0,17340.0,0.0,21840.0,16620.0,15360.0,17524.0,6660.0,14100.0,17220.0,26160.0
Montpellier,15360.0,9360.0,6480.0,7980.0,17521.0,25260.0,20520.0,0.0,16080.0,22020.0,24244.0,19800.0,19380.0,11280.0,10860.0
Bordeaux,8733.0,22080.0,17520.0,7740.0,32761.0,,16620.0,15960.0,0.0,15600.0,18424.0,14880.0,13260.0,,28860.0
Rennes,6693.0,22320.0,13860.0,23640.0,36061.0,4740.0,16800.0,21120.0,15660.0,0.0,19384.0,14700.0,11400.0,19860.0,26760.0
Le Havre,8044.0,21544.0,17704.0,29284.0,34745.0,18364.0,16804.0,23704.0,17704.0,15784.0,0.0,15064.0,17044.0,22144.0,27244.0
Reims,2760.0,17100.0,10440.0,23280.0,28501.0,13140.0,5820.0,19260.0,13260.0,11340.0,14284.0,0.0,7200.0,13320.0,21600.0
Lille,3660.0,17220.0,10620.0,23400.0,28621.0,16620.0,10020.0,19380.0,13380.0,11460.0,14284.0,6600.0,0.0,13500.0,21720.0
Saint-Étienne,10200.0,10620.0,2580.0,19440.0,21541.0,22080.0,18000.0,12300.0,,18780.0,22084.0,14460.0,13500.0,0.0,14460.0
Toulon,13980.0,2760.0,9720.0,17820.0,6841.0,25560.0,23940.0,9360.0,,23700.0,25684.0,22440.0,22020.0,14280.0,0.0
